Judet, Valoare
 Bihor,236.4
 Bistrita-Nasaud,113.2
 Cluj,359.3
 Maramures,176.2
 Satu Mare,128.2
 Salaj,90.4
 Alba,153.7
 Brasov,258.6
 Covasna,79.2
 Harghita,120.1
 Mures,209.1
 Sibiu,190
 Bacau,188.2
 Botosani,110
 Iasi,276.6
 Neamt,151.8
 Suceava,195.9
 Vaslui,107.3
 Braila,107.9
 Buzau,143.3
 Constanta,276.5
 Galati,165.9
 Tulcea,72.5
 Vrancea,112.1
 Arges,231.7
 Calarasi,76.3
 Dambovita,163
 Giurgiu,67.6
 Ialomita,78.3
 Prahova,266.6
 Teleorman,107.5
 Ilfov,217.8
 Dolj,229.8
 Gorj,118.6
 Mehedinti,84.2
 Olt,130.3
 Valcea,140.8
 Arad,192.5
 Caras-Severin,91.4
 Hunedoara,153.2
 Timis,334.8