Judet,An,Rata Somaj
 Bihor,2019,1.4
 Bihor,2020,2.3
 Bihor,2021,1.5
 Bihor,2022,1.2
 Bihor,2023,1.4
 Bistrita-Nasaud,2019,2.6
 Bistrita-Nasaud,2020,3.4
 Bistrita-Nasaud,2021,3.5
 Bistrita-Nasaud,2022,3.2
 Bistrita-Nasaud,2023,3.3
 Cluj,2019,1.2
 Cluj,2020,1.6
 Cluj,2021,1.3
 Cluj,2022,1.2
 Cluj,2023,1.2
 Maramures,2019,2.6
 Maramures,2020,2.3
 Maramures,2021,2.1
 Maramures,2022,1.9
 Maramures,2023,2.3
 Satu Mare,2019,2.5
 Satu Mare,2020,3.7
 Satu Mare,2021,3.6
 Satu Mare,2022,3.8
 Satu Mare,2023,3.8
 Salaj,2019,4.2
 Salaj,2020,5.2
 Salaj,2021,4.9
 Salaj,2022,5
 Salaj,2023,5.2
 Alba,2019,3.1
 Alba,2020,3.8
 Alba,2021,3.3
 Alba,2022,3.7
 Alba,2023,3.6
 Brasov,2019,2
 Brasov,2020,2.6
 Brasov,2021,2
 Brasov,2022,2.2
 Brasov,2023,2.6
 Covasna,2019,3.3
 Covasna,2020,5.1
 Covasna,2021,4.2
 Covasna,2022,4
 Covasna,2023,5.1
 Harghita,2019,3.8
 Harghita,2020,4.5
 Harghita,2021,3.9
 Harghita,2022,4.4
 Harghita,2023,4.1
 Mures,2019,2.7
 Mures,2020,2.7
 Mures,2021,2.5
 Mures,2022,3.2
 Mures,2023,2.9
 Sibiu,2019,1.8
 Sibiu,2020,2.8
 Sibiu,2021,2
 Sibiu,2022,2.3
 Sibiu,2023,2.4
 Bacau,2019,5.2
 Bacau,2020,5.4
 Bacau,2021,3.7
 Bacau,2022,2.8
 Bacau,2023,2.6
 Botosani,2019,2.6
 Botosani,2020,2.9
 Botosani,2021,2.6
 Botosani,2022,3
 Botosani,2023,3.1
 Iasi,2019,2.7
 Iasi,2020,3.1
 Iasi,2021,3
 Iasi,2022,3.1
 Iasi,2023,2.9
 Neamt,2019,4
 Neamt,2020,5
 Neamt,2021,4.4
 Neamt,2022,3.9
 Neamt,2023,4.6
 Suceava,2019,4.8
 Suceava,2020,5.1
 Suceava,2021,5.4
 Suceava,2022,5.5
 Suceava,2023,5.6
 Vaslui,2019,7.5
 Vaslui,2020,7.4
 Vaslui,2021,8.6
 Vaslui,2022,8.4
 Vaslui,2023,7.9
 Braila,2019,3.5
 Braila,2020,4.3
 Braila,2021,3.4
 Braila,2022,3.2
 Braila,2023,3.2
 Buzau,2019,6.6
 Buzau,2020,7.9
 Buzau,2021,5.7
 Buzau,2022,5.3
 Buzau,2023,5.5
 Constanta,2019,2.5
 Constanta,2020,3
 Constanta,2021,2.4
 Constanta,2022,2.3
 Constanta,2023,2.2
 Galati,2019,5.6
 Galati,2020,6.5
 Galati,2021,6.4
 Galati,2022,6
 Galati,2023,5.2
 Tulcea,2019,3.5
 Tulcea,2020,3
 Tulcea,2021,3.1
 Tulcea,2022,4
 Tulcea,2023,3.3
 Vrancea,2019,3.6
 Vrancea,2020,4.2
 Vrancea,2021,4.6
 Vrancea,2022,4.3
 Vrancea,2023,2.5
 Arges,2019,3
 Arges,2020,3.8
 Arges,2021,3.6
 Arges,2022,3.5
 Arges,2023,3.5
 Calarasi,2019,3.6
 Calarasi,2020,4.3
 Calarasi,2021,3.9
 Calarasi,2022,4.8
 Calarasi,2023,5.1
 Dambovita,2019,3.4
 Dambovita,2020,3.2
 Dambovita,2021,2.8
 Dambovita,2022,2.9
 Dambovita,2023,2.8
 Giurgiu,2019,2
 Giurgiu,2020,2.6
 Giurgiu,2021,3.1
 Giurgiu,2022,3.3
 Giurgiu,2023,3.3
 Ialomita,2019,4.5
 Ialomita,2020,4.9
 Ialomita,2021,5.3
 Ialomita,2022,5
 Ialomita,2023,4.8
 Prahova,2019,2.4
 Prahova,2020,2.9
 Prahova,2021,2.2
 Prahova,2022,2.2
 Prahova,2023,2.3
 Teleorman,2019,6.3
 Teleorman,2020,6.6
 Teleorman,2021,8
 Teleorman,2022,8.3
 Teleorman,2023,7.5
 Ilfov,2019,0.4
 Ilfov,2020,0.7
 Ilfov,2021,0.4
 Ilfov,2022,0.4
 Ilfov,2023,0.5
 Municipiul Bucuresti,2019,1.2
 Municipiul Bucuresti,2020,1.2
 Municipiul Bucuresti,2021,1.1
 Municipiul Bucuresti,2022,1
 Municipiul Bucuresti,2023,0.9
 Dolj,2019,6.7
 Dolj,2020,7.1
 Dolj,2021,6.8
 Dolj,2022,7.3
 Dolj,2023,7.3
 Gorj,2019,3.5
 Gorj,2020,3.8
 Gorj,2021,3.6
 Gorj,2022,3.5
 Gorj,2023,3
 Mehedinti,2019,6.8
 Mehedinti,2020,6.4
 Mehedinti,2021,6.8
 Mehedinti,2022,6.8
 Mehedinti,2023,7
 Olt,2019,5.5
 Olt,2020,5.9
 Olt,2021,5.9
 Olt,2022,6.1
 Olt,2023,5.5
 Valcea,2019,2.8
 Valcea,2020,3.6
 Valcea,2021,3.5
 Valcea,2022,3.3
 Valcea,2023,3.5
 Arad,2019,1.2
 Arad,2020,2.2
 Arad,2021,1.6
 Arad,2022,1.1
 Arad,2023,1.1
 Caras-Severin,2019,3.1
 Caras-Severin,2020,3.4
 Caras-Severin,2021,2.6
 Caras-Severin,2022,2.6
 Caras-Severin,2023,2.6
 Hunedoara,2019,3
 Hunedoara,2020,3.4
 Hunedoara,2021,4
 Hunedoara,2022,4
 Hunedoara,2023,4.5
 Timis,2019,0.8
 Timis,2020,1.3
 Timis,2021,0.8
 Timis,2022,0.8
 Timis,2023,0.9