Judet,Rata Somaj (%)
 Bihor,1.4
 Bistrita-Nasaud,3.3
 Cluj,1.2
 Maramures,2.3
 Satu Mare,3.8
 Salaj,5.2
 Alba,3.6
 Brasov,2.6
 Covasna,5.1
 Harghita,4.1
 Mures,2.9
 Sibiu,2.4
 Bacau,2.6
 Botosani,3.1
 Iasi,2.9
 Neamt,4.6
 Suceava,5.6
 Vaslui,7.9
 Braila,3.2
 Buzau,5.5
 Constanta,2.2
 Galati,5.2
 Tulcea,3.3
 Vrancea,2.5
 Arges,3.5
 Calarasi,5.1
 Dambovita,2.8
 Giurgiu,3.3
 Ialomita,4.8
 Prahova,2.3
 Teleorman,7.5
 Ilfov,0.5
Municipiul Bucuresti,1.4
 Dolj,7.3
 Gorj,3
 Mehedinti,7
 Olt,5.5
 Valcea,3.5
 Arad,1.1
 Caras-Severin,2.6
 Hunedoara,4.5
 Timis,0.9